species_name,genus,tribe,haplochromine,water_system,lm_ecology,mouthbrooder,depth,piscivore,precaudal_count,caudal_count,total_count,ln_pc_ln_c,aspect_ratio,ln_length_ln_width,ln_ant_length_ln_width,ln_post_length_ln_width,n_count
Placidochromis milomo,Placidochromis,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,non-piscivore,2.609414141,2.808963495,3.407755346,-0.199549355,2.378513353,0.866124843,-0.148793601,0.435560774,5
Placidochromis phenochilus,Placidochromis,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,non-piscivore,2.63905733,2.944438979,3.496507561,-0.30538165,2.4445581,0.89386437,-0.335094396,0.562987412,1
Placidochromis subocularis,Mylochromis,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,non-piscivore,2.63905733,2.890371758,3.465735903,-0.251314428,2.703004481,0.994363925,-0.242595935,0.661907536,1
Plecodus elaviae,Plecodus,Perissodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,piscivore,2.772588722,3.001153403,3.586563269,-0.228564681,3.468737022,1.243539191,-0.132752939,0.954155448,9
Plecodus multidentatus,Plecodus,Perissodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,piscivore,2.716117516,2.950850641,3.533607409,-0.234733125,3.588140111,1.277235248,0.001166131,0.952167673,8
Plecodus paradoxus,Plecodus,Perissodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,piscivore,2.838929185,3.039643421,3.637516884,-0.200714236,3.908806362,1.362394094,-0.054603142,1.085034747,10
Plecodus straeleni,Plecodus,Perissodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,piscivore,2.714504053,2.917405369,3.514419339,-0.202901315,2.536623056,0.929602626,-0.384771221,0.61838097,10
Protomelas annectens,Protomelas,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,non-piscivore,2.685052577,2.908394165,3.496507561,-0.223341588,2.483978329,0.909790303,-0.338491835,0.595839601,3
Protomelas fenestratus,Protomelas,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,non-piscivore,2.564949357,2.890371758,3.433987204,-0.3254224,2.661922508,0.979048609,-0.171598702,0.598784816,1
Protomelas insignis,Protomelas,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,piscivore,2.708050201,2.833213344,3.465735903,-0.125163143,2.607638507,0.958441918,-0.267662032,0.61886073,2
Protomelas kirkii,Protomelas,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,non-piscivore,2.481422315,2.861792551,3.384246606,-0.380370236,2.431985829,0.888538381,-0.285665336,0.530579075,2
Protomelas ornatus,Protomelas,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,piscivore,2.564949357,2.833213344,3.401197382,-0.268263987,2.484970275,0.910245623,-0.178798309,0.513353702,2
Protomelas spilopterus,Protomelas,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,piscivore,2.564949357,2.833213344,3.401197382,-0.268263987,2.501106881,0.915142647,-0.306172911,0.569481695,3
Protomelas taeniolatus,Protomelas,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,non-piscivore,2.63905733,2.833213344,3.433987204,-0.194156014,2.511531683,0.920892799,-0.185151981,0.522883577,1
Protomelas triaenodon,Protomelas,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,non-piscivore,2.671254003,2.867096233,3.467335284,-0.19584223,2.686365665,0.985329006,-0.213641829,0.640752745,15
Pseudocrenilabrus multicolor,Pseudocrenilabrus,Basal Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.481301339,2.712182844,3.297086686,-0.230881505,2.41497917,0.880060433,-0.322585931,0.533868073,28
Pseudocrenilabrus philander,Pseudocrenilabrus,Basal Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.499031833,2.756910938,3.329759257,-0.257879104,2.550413263,0.934150606,-0.204587912,0.555181058,17
"Pseudocrenilabrus sp. ""chambezi""",Pseudocrenilabrus,Basal Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,data_deficient,non-piscivore,2.514922665,2.748386777,3.33204497,-0.233464112,2.747806625,1.010074464,-0.105630616,0.624622615,8
"Pseudocrenilabrus sp. ""kafue""",Pseudocrenilabrus,Basal Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,data_deficient,non-piscivore,2.48490665,2.756454092,3.323112599,-0.271547442,2.671878593,0.982344539,-0.182746062,0.619923291,4
"Pseudocrenilabrus sp. ""kalungwishi""",Pseudocrenilabrus,Basal Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,data_deficient,non-piscivore,2.511587552,2.761179985,3.338053063,-0.249592433,2.625545436,0.964693147,-0.161214331,0.581487996,6
"Pseudocrenilabrus sp. ""kundalila""",Pseudocrenilabrus,Basal Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,data_deficient,non-piscivore,2.516923733,2.746773314,3.33220451,-0.229849581,2.570048244,0.943547252,-0.1850776,0.566321656,5
"Pseudocrenilabrus sp. ""luangwa""",Pseudocrenilabrus,Basal Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,data_deficient,non-piscivore,2.520481187,2.772588722,3.347800652,-0.252107536,2.72007951,1.000136246,-0.15557345,0.629125866,9
"Pseudocrenilabrus sp. ""mpika""",Pseudocrenilabrus,Basal Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,data_deficient,non-piscivore,2.463153806,2.756454092,3.314020688,-0.293300286,2.570788927,0.943447056,-0.11563358,0.519056964,4
"Pseudocrenilabrus sp. ""mulungshi""",Pseudocrenilabrus,Basal Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,data_deficient,non-piscivore,2.507775995,2.789910043,3.352256693,-0.282134048,2.686894155,0.987992369,-0.140845752,0.611893765,7
"Pseudocrenilabrus sp. ""saisi""",Pseudocrenilabrus,Basal Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,data_deficient,non-piscivore,2.511587552,2.772153845,3.343901617,-0.260566292,3.036998394,1.10802465,0.066673354,0.677294331,9
"Pseudocrenilabrus sp. ""unknown""",Pseudocrenilabrus,Basal Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,data_deficient,non-piscivore,2.509535175,2.762659719,3.337603175,-0.253124544,2.686162755,0.987682761,-0.154142688,0.616959009,13
Pseudosimochromis babaulti,Pseudosimochromis,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.584451455,2.848255032,3.418455183,-0.263803577,2.666366005,0.979089613,-0.219457753,0.661831529,19
Pseudosimochromis curvifrons,Pseudosimochromis,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.701150914,2.808616875,3.44976385,-0.107465961,2.318294681,0.840267515,-0.414582123,0.573903604,10
Pseudosimochromis marginatus,Pseudosimochromis,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.63905733,2.833030912,3.433932408,-0.193973582,2.557720768,0.93824943,-0.257348911,0.629038885,19
Pseudotropheus elegans,Pseudotropheus,Haplochromini,Haplochromine,Lake Malawi,Mbuna,maternal_mouthbrooder,benthopelagic,non-piscivore,2.63905733,2.833213344,3.433987204,-0.194156014,2.78198406,1.023164364,-0.23775052,0.697697963,1
Pseudotropheus interruptus,Pseudotropheus,Haplochromini,Haplochromine,Lake Malawi,Mbuna,maternal_mouthbrooder,benthopelagic,non-piscivore,2.63905733,2.833213344,3.433987204,-0.194156014,2.949093558,1.08149705,-0.22214903,0.783456227,2
Pseudotropheus johannii,Pseudotropheus,Haplochromini,Haplochromine,Lake Malawi,Mbuna,maternal_mouthbrooder,benthopelagic,non-piscivore,2.694251627,2.808963495,3.446686684,-0.114711869,3.082361264,1.125486618,-0.197543047,0.840100068,5
Pseudotropheus obesus,Pseudotropheus,Haplochromini,Haplochromine,Lake Malawi,Mbuna,maternal_mouthbrooder,benthopelagic,non-piscivore,2.708050201,2.772588722,3.433987204,-0.064538521,2.480344626,0.908397513,-0.389767649,0.604149083,1
Pseudotropheus purpuratus,Pseudotropheus,Haplochromini,Haplochromine,Lake Malawi,Mbuna,maternal_mouthbrooder,benthopelagic,non-piscivore,2.564949357,2.890371758,3.433987204,-0.3254224,2.792994435,1.027114295,-0.30668358,0.731750548,1
Pterochromis congicus,Pterochromis,Pelmatochromini,Other,Riverine,not_applicable,data_deficient,demersal,data_deficient,2.524928004,2.602003344,3.258096538,-0.07707534,2.014658333,0.699919167,-0.461539662,0.32547099,2
Pungu maclareni,Pungu,Oreochromini,Other,Riverine,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.708050201,2.63905733,3.36729583,0.068992871,2.407368013,0.87853404,-0.270181108,0.503440377,1
Pyxichromis parorthostoma,Haplochromis,Haplochromini,Haplochromine,Lake Victoria,not_applicable,maternal_mouthbrooder,demersal,data_deficient,2.564949357,2.772588722,3.36729583,-0.207639365,2.256596778,0.813857828,-0.318723362,0.425317703,1
Reganochromis calliurus,Reganochromis,Limnochromini,Other,Lake Tanganyika,not_applicable,data_deficient,benthopelagic,non-piscivore,2.746773314,2.975214956,3.560818905,-0.228441642,4.481825127,1.498651695,0.217328492,1.178963887,10
Rhamphochromis esox,Rhamphochromis,Haplochromini,Haplochromine,Lake Malawi,Rhamphochromis,maternal_mouthbrooder,pelagic,piscivore,2.864624553,3.027754572,3.642981419,-0.16313002,4.570300671,1.509930218,0.355299937,1.134106548,9
Rhamphochromis ferox,Rhamphochromis,Haplochromini,Haplochromine,Lake Malawi,Rhamphochromis,maternal_mouthbrooder,pelagic,piscivore,2.833213344,2.995732274,3.610917913,-0.162518929,4.231416254,1.442084947,0.318967706,1.047962554,2
Rhamphochromis longiceps,Rhamphochromis,Haplochromini,Haplochromine,Lake Malawi,Rhamphochromis,maternal_mouthbrooder,pelagic,piscivore,2.843713909,2.9564293,3.595412075,-0.112715392,4.158543444,1.423594975,0.217606926,1.073843517,16
"Rhamphochromis sp. ""unknown""",Rhamphochromis,Haplochromini,Haplochromine,Lake Malawi,Rhamphochromis,maternal_mouthbrooder,pelagic,piscivore,2.842739746,2.960657234,3.596730739,-0.117917488,4.048872187,1.395555085,0.175848463,1.051084329,6
Rhamphochromis sp. 'Chilingali',Rhamphochromis,Haplochromini,Haplochromine,Lake Malawi,Rhamphochromis,maternal_mouthbrooder,pelagic,piscivore,2.787744878,3.007929815,3.597218426,-0.220184937,4.150427035,1.4226365,0.255163738,1.05260162,4
Rhamphochromis sp. 'Kingiri dwarf',Rhamphochromis,Haplochromini,Haplochromine,Lake Malawi,Rhamphochromis,maternal_mouthbrooder,pelagic,piscivore,2.802901033,2.994480708,3.597218426,-0.191579675,4.473604709,1.497404927,0.320398687,1.134621745,2
Rhamphochromis sp. 'Kingiri large',Rhamphochromis,Haplochromini,Haplochromine,Lake Malawi,Rhamphochromis,maternal_mouthbrooder,pelagic,piscivore,2.802901033,2.994480708,3.597218426,-0.191579675,3.936237611,1.369946045,0.25192162,0.975630992,2
Rhamphochromis sp. 'yellow belly',Rhamphochromis,Haplochromini,Haplochromine,Lake Malawi,Rhamphochromis,maternal_mouthbrooder,pelagic,piscivore,2.890371758,2.995732274,3.63758616,-0.105360516,4.873151277,1.583519358,0.356732895,1.238939924,2
Rhamphochromis woodi,Rhamphochromis,Haplochromini,Haplochromine,Lake Malawi,Rhamphochromis,maternal_mouthbrooder,pelagic,piscivore,2.796055791,2.995231648,3.594478528,-0.199175856,3.78773062,1.328928273,0.218331799,0.932449789,5
Sargochromis carlottae,Sargochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.673553765,2.813005137,3.439278654,-0.139451371,2.533475062,0.922385798,-0.239287188,0.558099276,6
Sargochromis codringtonii,Sargochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.731518754,2.842975563,3.482431622,-0.111456809,2.626734353,0.956341778,-0.256157868,0.622370257,11
Sargochromis mellandi,Sargochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.626876755,2.83030309,3.427150075,-0.203426335,2.937421161,1.075584747,-0.020603793,0.682483296,50
Sargochromis mortimeri,Sargochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.708050201,2.833213344,3.465735903,-0.125163143,2.73320419,1.005474617,-0.070416274,0.619994379,1
"Sargochromis sp. ""kafue""",Sargochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,data_deficient,2.654389079,2.839564279,3.444570104,-0.1851752,2.79593828,1.027775621,-0.055123476,0.629794689,9
"Sargochromis sp. ""unknown""",Sargochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,data_deficient,data_deficient,2.729563041,2.772588722,3.444570104,-0.043025681,2.297233278,0.831421376,-0.369039691,0.490848487,3
Sarotherodon galilaeus,Sarotherodon,Oreochromini,Other,Riverine,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.714504053,2.638034309,3.370567008,0.076469744,1.983667676,0.684222035,-0.488176036,0.341813225,10
Sarotherodon linnellii,Sarotherodon,Oreochromini,Other,Riverine,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.609414141,2.73386561,3.36729583,-0.124451469,2.49192859,0.912636563,-0.152195704,0.515642135,15
Sarotherodon melanotheron,Sarotherodon,Oreochromini,Other,Riverine,not_applicable,paternal_mouthbrooder,demersal,non-piscivore,2.63905733,2.564949357,3.295836866,0.074107972,2.335557518,0.847933751,-0.203118497,0.468550475,5
Sciaenochromis ahli,Sciaenochromis,Haplochromini,Haplochromine,Lake Malawi,Mbuna,maternal_mouthbrooder,benthopelagic,piscivore,2.589652015,2.890371758,3.444570104,-0.300719743,3.070088773,1.121697937,-0.133914704,0.793878732,3
Serranochromis angusticeps,Serranochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,piscivore,2.740319462,2.910260567,3.522297711,-0.169941105,2.75958945,1.013117695,-0.107144187,0.627075399,8
Serranochromis giardi,Serranochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.708050201,2.802901033,3.449861554,-0.094850832,2.333609035,0.847373085,-0.309646234,0.494304252,2
Serranochromis gracilis,Serranochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,data_deficient,2.708050201,2.833213344,3.465735903,-0.125163143,2.86577497,1.052838809,-0.02905998,0.671278176,1
Serranochromis jallae,Serranochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,piscivore,2.805232749,2.91532586,3.555222422,-0.110093111,2.900029547,1.062073253,-0.095983403,0.689774032,13
Serranochromis longimanus,Serranochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,piscivore,2.756454092,2.847502948,3.496507561,-0.091048856,2.591717731,0.95153122,-0.197711144,0.574866206,4
Serranochromis macrocephalus,Serranochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,piscivore,2.72693937,2.912991216,3.517891187,-0.186051846,3.09979305,1.129146276,0.054556872,0.72070685,47
Serranochromis meridianus,Serranochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,piscivore,2.708050201,2.890371758,3.496507561,-0.182321557,2.614915841,0.961231914,-0.169513091,0.577955059,1
Serranochromis robustus,Serranochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,piscivore,2.788755288,2.937230016,3.559049734,-0.148474728,2.950229435,1.081449566,-0.038607845,0.691817841,15
"Serranochromis sp. ""lusiwasi""",Serranochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,data_deficient,data_deficient,2.850360868,2.969557921,3.605214782,-0.119197052,3.274235208,1.184250134,-0.041327987,0.845799395,10
Serranochromis stappersi,Serranochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,piscivore,2.833213344,2.833213344,3.526360525,0,2.461331507,0.900702467,-0.356563614,0.572724088,1
Serranochromis thumbergi,Serranochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,demersal,piscivore,2.890371758,2.926416572,3.601784921,-0.036044814,2.81213346,1.033416333,-0.24167344,0.713216125,3
Simochromis diagramma,Simochromis,Tropheini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.707604766,2.844298406,3.471890235,-0.13669364,2.431771296,0.887779929,-0.316959786,0.581500442,10
Spathodus erythrodon,Spathodus,Eretmodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.557672748,2.827702015,3.395033463,-0.270029267,2.932464632,1.074964607,-0.069227108,0.717409564,11
Spathodus marlieri,Spathodus,Eretmodini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,demersal,non-piscivore,2.594592546,2.815025958,3.404476364,-0.220433411,3.016757754,1.103780568,-0.069776133,0.763216803,10
Steatocranus casuarius,Steatocranus,Steatocranini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.717015456,2.701754725,3.403039322,0.015260731,3.110960547,1.132900173,-0.121362463,0.809204623,35
Steatocranus gibbiceps,Steatocranus,Steatocranini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.66080836,2.764336327,3.407568281,-0.103527967,3.484696202,1.247229896,0.015166246,0.906175543,41
Steatocranus glaber,Steatocranus,Steatocranini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.699426092,2.732252147,3.409394837,-0.032826054,3.557894077,1.267268909,-0.012545938,0.947315705,8
Steatocranus irvinei,Steatocranus,Steatocranini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.833213344,2.708050201,3.465735903,0.125163143,3.571203262,1.272108662,-0.060648654,0.977410046,2
Steatocranus mpozoensis,Steatocranus,Steatocranini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.707604766,2.777868405,3.436849737,-0.070263638,3.687704705,1.303163958,-0.049706595,1.014668798,10
Steatocranus rouxi,Steatocranus,Steatocranini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.684447377,2.788233578,3.431234146,-0.103786201,3.871810887,1.351620812,0.031779515,1.047147547,38
Steatocranus tinanti,Steatocranus,Steatocranini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.704914161,2.833055789,3.464201045,-0.128141628,4.739321055,1.549934504,0.263290415,1.230560483,22
Steatocranus ubanguiensis,Steatocranus,Steatocranini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.63905733,2.708050201,3.36729583,-0.068992871,3.235187973,1.174087032,-0.218473254,0.893213165,1
Stigmatochromis macrorhynchos,Stigmatochromis,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,piscivore,2.564949357,2.890371758,3.433987204,-0.3254224,3.286952102,1.189960723,0.071350984,0.800445761,1
Stigmatochromis modestus,Stigmatochromis,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,demersal,piscivore,2.646722357,2.821196313,3.431547419,-0.174473956,2.834689627,1.041195901,-0.165214421,0.689734099,16
Taeniolethrinops furcicauda,Taeniolethrinops,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,demersal,non-piscivore,2.58347635,2.917405369,3.457798728,-0.333929018,2.423278798,0.884886295,-0.313584077,0.554502042,4
Taeniolethrinops praeorbitalis,Taeniolethrinops,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,demersal,non-piscivore,2.524928004,2.957262303,3.457554468,-0.432334299,2.545545212,0.933375978,-0.180822005,0.566746312,4
Tangachromis dhanisi,Tangachromis,Limnochromini,Other,Lake Tanganyika,not_applicable,data_deficient,benthopelagic,non-piscivore,2.564949357,2.833213344,3.401197382,-0.268263987,3.623020699,1.286964679,0.116683788,0.921880998,3
Tanganicodus irsacae,Tanganicodus,Eretmodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,benthopelagic,non-piscivore,2.540936545,2.850360868,3.401197382,-0.309424323,2.946839601,1.080444252,-0.106585132,0.739086552,10
Teleogramma brichardi,Teleogramma,Chromidotilapiini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.579770952,2.98290895,3.494923044,-0.403137998,5.727330564,1.744002055,0.345344674,1.464275974,20
Teleogramma depressum,Teleogramma,Chromidotilapiini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.615861407,2.995067315,3.517039806,-0.379205907,9.078511831,2.202318906,0.695387809,1.951764348,26
Teleogramma gracile,Teleogramma,Chromidotilapiini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.649671618,2.952116876,3.505657754,-0.302445259,7.332415659,1.991083052,0.602140152,1.705531789,26
Teleogramma monogramma,Teleogramma,Chromidotilapiini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.58674582,3.012805089,3.515770144,-0.426059269,7.090328887,1.956576412,0.587128242,1.6648633,17
Teleogramma obamaorum,Teleogramma,Chromidotilapiini,Other,Riverine,not_applicable,substrate_brooder,demersal,non-piscivore,2.514922665,3.020127356,3.492546267,-0.50520469,4.908640796,1.589922911,0.308618912,1.272715381,8
Telmatochromis bifrenatus,Telmatochromis,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,demersal,non-piscivore,2.707604766,2.954169932,3.532071489,-0.246565166,4.623559501,1.530460149,0.139681322,1.250332462,10
Telmatochromis brachygnathus,Telmatochromis,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,benthopelagic,non-piscivore,2.722392095,2.884020823,3.49972248,-0.161628728,3.237355178,1.173971896,-0.155910096,0.888588115,9
Telmatochromis brichardi,Telmatochromis,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,demersal,non-piscivore,2.708050201,2.933348142,3.520303389,-0.225297941,4.701942643,1.547632834,0.177653538,1.258919721,10
Telmatochromis dhonti,Telmatochromis,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,benthopelagic,non-piscivore,2.63905733,2.911998646,3.478044566,-0.272941317,3.077848712,1.124035258,-0.104339026,0.787926574,10
"Telmatochromis sp. ""dhonti north""",Telmatochromis,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,data_deficient,non-piscivore,2.692718452,2.902386696,3.496507561,-0.209668244,3.382936691,1.218440606,-0.057471818,0.900030589,9
"Telmatochromis sp. ""dhonti twiyu""",Telmatochromis,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,data_deficient,non-piscivore,2.645445107,2.944161586,3.499400988,-0.29871648,3.093937288,1.12875531,-0.16283744,0.817909236,10
"Telmatochromis sp. ""longola""",Telmatochromis,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,data_deficient,non-piscivore,2.63905733,2.944438979,3.496507561,-0.30538165,4.110630134,1.413576334,-0.038978433,1.162079732,1
"Telmatochromis sp. ""lufubu""",Telmatochromis,Lamprologini,Other,Riverine,not_applicable,substrate_brooder,data_deficient,non-piscivore,2.63905733,2.952987862,3.501483055,-0.313930532,4.020781465,1.390646336,0.131480736,1.060079657,6
"Telmatochromis sp. ""shell""",Telmatochromis,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,data_deficient,non-piscivore,2.659755191,2.884346797,3.471890235,-0.224591606,3.076328421,1.123420385,-0.102657582,0.789701384,10
Telmatochromis temporalis,Telmatochromis,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,demersal,non-piscivore,2.690801983,2.89461976,3.491302394,-0.203817777,3.210688669,1.165795542,-0.104737906,0.8472459,12
Telmatochromis vittatus,Telmatochromis,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,benthopelagic,non-piscivore,2.740319462,2.95252554,3.545617494,-0.212206079,4.210961157,1.435015157,0.000168543,1.175579548,12
Thoracochromis albolabris,Thoracochromis,Serranochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.564949357,2.944438979,3.465735903,-0.379489622,2.769082106,1.018515896,-0.083111551,0.649032673,1
Thoracochromis wingatii,Thoracochromis,Serranochromini,Haplochromine,Lake Victoria,not_applicable,maternal_mouthbrooder,benthopelagic,data_deficient,2.564949357,2.772588722,3.36729583,-0.207639365,2.566791079,0.942656511,-0.175666783,0.570563326,1
Tilapia guinasana,Tilapia,Tilapiini,Other,Riverine,not_applicable,substrate_brooder,benthopelagic,non-piscivore,2.514013089,2.612108976,3.258096538,-0.098095887,2.106323745,0.71785279,-0.340130268,0.452927984,11
Tilapia savagei,Tilapia,Tilapiini,Other,Riverine,not_applicable,substrate_brooder,benthopelagic,non-piscivore,2.724184831,2.620530337,3.36729583,0.103654495,2.342130279,0.850659518,-0.337520679,0.493209123,4
"Tilapia sp. ""rukwa""",Tilapia,Tilapiini,Other,Riverine,not_applicable,data_deficient,benthopelagic,data_deficient,2.589652015,2.612513033,3.295608085,-0.022861018,2.37102704,0.862604202,-0.352007952,0.521280362,6
Tilapia sparrmanii,Tilapia,Tilapiini,Other,Riverine,not_applicable,substrate_brooder,benthopelagic,non-piscivore,2.582734509,2.637139167,3.304757192,-0.054404658,2.253958977,0.811344051,-0.398790073,0.475198836,8
Trematocara caparti,Trematocara,Trematocarini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.397895273,2.871318953,3.355598723,-0.47342368,3.517630656,1.256527854,0.091517513,0.887597398,3
Trematocara macrostoma,Trematocara,Trematocarini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.48490665,2.954697638,3.440336944,-0.469790988,3.820685376,1.340207476,0.158876576,0.979349665,10
Trematocara marginatum,Trematocara,Trematocarini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.48490665,2.850360868,3.377466295,-0.365454218,3.23005214,1.171891292,0.070505549,0.774246221,10
Trematocara nigrifrons,Trematocara,Trematocarini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.48490665,2.844645027,3.37407614,-0.359738377,3.353061883,1.208553332,0.072192064,0.826370936,10
Trematocara sp. new species,Trematocara,Trematocarini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,data_deficient,data_deficient,2.397895273,2.890371758,3.36729583,-0.492476485,3.046032816,1.113840028,0.041147333,0.717209376,1
Trematocara stigmaticum,Trematocara,Trematocarini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.48490665,2.842739746,3.372946089,-0.357833097,3.140047263,1.143408154,0.01318782,0.754943901,6
